word,cefr,pos,list,definition,example,phonetic,audio_url,source,audio_source
a,a1,indefinite article,oxford_3000_5000,used before countable or singular nouns referring to people or things that have not already been mentioned,a man/horse/unit,/ə/,data/audio/oxford/a__us_2_rr.ogg,oxford,oxford
abandon,b2,verb,oxford_3000_5000,"to leave somebody, especially somebody you are responsible for, with no intention of returning","abandon somebody, The baby had been abandoned by its mother.",/əˈbændən/,data/audio/oxford/abandon__us_2.ogg,oxford,oxford
ability,a2,noun,oxford_3000_5000,the fact that somebody/something is able to do something,People with the disease may lose their ability to communicate.,/əˈbɪləti/,data/audio/oxford/ability__us_4.ogg,oxford,oxford
able,a2,adjective,oxford_3000_5000,"to have the skill, intelligence, opportunity, etc. needed to do something",You must be able to speak French for this job.,/ˈeɪbl/,data/audio/oxford/able__us_2.ogg,oxford,oxford
abolish,c1,verb,oxford_3000_5000,"to officially end a law, a system or an institution",This tax should be abolished.,/əˈbɒlɪʃ/,data/audio/oxford/abolish__us_1.ogg,oxford,oxford
abortion,c1,noun,oxford_3000_5000,the deliberate ending of a pregnancy at an early stage,to support/oppose abortion,/əˈbɔːʃn/,data/audio/oxford/abortion__us_1.ogg,oxford,oxford
about,a1,adverb,oxford_3000_5000,a little more or less than; a little before or after,It costs about $10.,/əˈbaʊt/,data/audio/oxford/about__us_1.ogg,oxford,oxford
about,a1,preposition,oxford_3000_5000,on the subject of somebody/something; in connection with somebody/something,a book about flowers,/əˈbaʊt/,data/audio/oxford/about__us_1.ogg,oxford,oxford
above,a1,adverb,oxford_3000_5000,at or to a higher place,Put it on the shelf above.,/əˈbʌv/,data/audio/oxford/above__us_2.ogg,oxford,oxford
above,a1,preposition,oxford_3000_5000,at or to a higher place or position than something/somebody,The water came above our knees.,/əˈbʌv/,data/audio/oxford/above__us_2.ogg,oxford,oxford
abroad,a2,adverb,oxford_3000_5000,in or to a foreign country,to go/travel/live/study abroad,/əˈbrɔːd/,data/audio/oxford/abroad__us_4.ogg,oxford,oxford
absence,c1,noun,oxford_3000_5000,the fact of somebody being away from a place where they are usually expected to be; the occasion or period of time when somebody is away,"in somebody's absence, The decision was made in my absence (= while I was not there).",/ˈæbsəns/,data/audio/oxford/absence__us_1.ogg,oxford,oxford
absent,c1,adjective,oxford_3000_5000,"not in a place because of illness, etc.",He was absent from work for two weeks.,/ˈæbsənt/,data/audio/oxford/absent__us_1.ogg,oxford,oxford
absolute,b2,adjective,oxford_3000_5000,total and complete,I've joined a class for absolute beginners.,/ˈæbsəluːt/,data/audio/oxford/absolute__us_1_rr.ogg,oxford,oxford
absolutely,b1,adverb,oxford_3000_5000,used to emphasize that something is completely true,You're absolutely right.,/ˈæbsəluːtli/,data/audio/oxford/absolutely__us_1_rr.ogg,oxford,oxford
absorb,b2,verb,oxford_3000_5000,"to take in a liquid, gas or other substance from the surface or space around","absorb something, Plants absorb carbon dioxide from the air.",/əbˈzɔːb/,data/audio/oxford/absorb__us_2_rr.ogg,oxford,oxford
abstract,b2,adjective,oxford_3000_5000,"based on general ideas and not on any particular real person, thing or situation",abstract knowledge/principles,/ˈæbstrækt/,data/audio/oxford/abstract__us_2_rr.ogg,oxford,oxford
absurd,c1,adjective,oxford_3000_5000,extremely silly; not logical and sensible,That uniform makes the guards look absurd.,/əbˈsɜːd/,data/audio/oxford/absurd__us_1_rr.ogg,oxford,oxford
abundance,c1,noun,oxford_3000_5000,a large quantity that is more than enough,The brochure promised beautiful walks with an abundance of wildlife.,/əˈbʌndəns/,data/audio/oxford/abundance__us_1.ogg,oxford,oxford
abuse,c1,noun,oxford_3000_5000,the use of something in a way that is wrong or harmful,alcohol/drug abuse,/əˈbjuːs/,data/audio/oxford/abuse__us_3.ogg,oxford,oxford
abuse,c1,verb,oxford_3000_5000,"to make bad use of something, or to use so much of something that it harms your health",to abuse alcohol/drugs,/əˈbjuːz/,data/audio/oxford/abuse__us_1.ogg,oxford,oxford
academic,b1,adjective,oxford_3000_5000,"connected with education, especially studying in schools and universities",high/low academic standards,/ˌækəˈdemɪk/,data/audio/oxford/academic__us_2.ogg,oxford,oxford
academic,b2,noun,oxford_3000_5000,a person who teaches and/or does research at a university or college,a leading/distinguished/prominent academic,/ˌækəˈdemɪk/,data/audio/oxford/academic__us_2.ogg,oxford,oxford
academy,c1,noun,oxford_3000_5000,a school or college for special training,She trained at the Royal Academy of Music.,/əˈkædəmi/,data/audio/oxford/academy__us_1.ogg,oxford,oxford
accelerate,c1,verb,oxford_3000_5000,to happen faster or earlier; to make something happen faster or earlier,Inflation continues to accelerate.,/əkˈseləreɪt/,data/audio/oxford/accelerate__us_1.ogg,oxford,oxford
accent,b2,noun,oxford_3000_5000,"a way of pronouncing the words of a language that shows which country, area or social class a person comes from; how well somebody pronounces a particular language",a northern/Dublin/Scottish accent,/ˈæksent/,data/audio/oxford/accent__us_1_rr.ogg,oxford,oxford
accept,a2,verb,oxford_3000_5000,"to take willingly something that is offered; to say ‘yes’ to an offer, invitation, etc.",He asked me to marry him and I accepted.,/əkˈsept/,data/audio/oxford/accept__us_1.ogg,oxford,oxford
acceptable,b2,adjective,oxford_3000_5000,agreed or approved of by most people in a society,Children must learn socially acceptable behaviour.,/əkˈseptəbl/,data/audio/oxford/acceptable__us_3.ogg,oxford,oxford
acceptance,c1,noun,oxford_3000_5000,"the act of accepting a gift, an invitation, an offer, etc.",Please confirm your acceptance of this offer in writing.,/əkˈseptəns/,data/audio/oxford/acceptance__us_1.ogg,oxford,oxford
access,b1,noun,oxford_3000_5000,the opportunity or right to use something or to see somebody/something,High-speed internet access has become a necessity.,/ˈækses/,data/audio/oxford/access__us_2.ogg,oxford,oxford
access,b1,verb,oxford_3000_5000,to open a computer file or use a computer system,Most people use their phones to access the internet.,/ˈækses/,data/audio/oxford/access__us_2.ogg,oxford,oxford
accessible,c1,adjective,oxford_3000_5000,"that can be reached, entered, used, seen, etc.",The remote desert area is accessible only by helicopter.,/əkˈsesəbl/,data/audio/oxford/accessible__us_1.ogg,oxford,oxford
accident,a2,noun,oxford_3000_5000,"an unpleasant event, especially in a vehicle, that happens unexpectedly and causes injury or damage",a car/road/traffic accident,/ˈæksɪdənt/,data/audio/oxford/accident__us_2_rr.ogg,oxford,oxford
accidentally,b2,adverb,oxford_3000_5000,by chance; in a way that was not planned,"As I turned around, I accidentally hit him in the face.",/ˌæksɪˈdentəli/,data/audio/oxford/accidentally__us_1.ogg,oxford,oxford
accommodate,b2,verb,oxford_3000_5000,"to provide somebody with a room or place to sleep, live or sit",The hotel can accommodate up to 500 guests.,/əˈkɒmədeɪt/,data/audio/oxford/accommodate__us_1.ogg,oxford,oxford
accommodation,b1,noun,oxford_3000_5000,"a place to live, work or stay in",rented/temporary accommodation,/əˌkɒməˈdeɪʃn/,data/audio/oxford/accommodation__us_2.ogg,oxford,oxford
accompany,b2,verb,oxford_3000_5000,to travel or go somewhere with somebody/something,"accompany somebody/something + adv./prep., His wife accompanied him on the trip.",/əˈkʌmpəni/,data/audio/oxford/accompany__us_2.ogg,oxford,oxford
accomplish,b2,verb,oxford_3000_5000,to succeed in doing or completing something,The first part of the plan has been safely accomplished.,/əˈkʌmplɪʃ/,data/audio/oxford/accomplish__us_1.ogg,oxford,oxford
accomplishment,c1,noun,oxford_3000_5000,an impressive thing that is done or achieved after a lot of work,It was one of the President's greatest accomplishments.,/əˈkʌmplɪʃmənt/,data/audio/oxford/accomplishment__us_1.ogg,oxford,oxford
accordance,c1,noun,oxford_3000_5000,according to a rule or the way that somebody says that something should be done,in accordance with legal requirements,/əˈkɔːdns/,data/audio/oxford/accordance__us_1.ogg,oxford,oxford
according to,a2,preposition,oxford_3000_5000,as stated or reported by somebody/something,"According to Mick, it's a great movie.",/əˈkɔːdɪŋ tə/,data/audio/oxford/according_to_1_us_3.ogg,oxford,oxford
accordingly,c1,adverb,oxford_3000_5000,in a way that is appropriate to what has been done or said in a particular situation,We have to discover his plans and act accordingly.,/əˈkɔːdɪŋli/,data/audio/oxford/accordingly__us_1.ogg,oxford,oxford
account,b1,noun,oxford_3000_5000,"an arrangement that somebody has with a bank, etc. to keep money there, take some out, etc.",I don't have a bank account.,/əˈkaʊnt/,data/audio/oxford/account__us_1.ogg,oxford,oxford
account,b2,verb,oxford_3000_5000,to have the opinion that somebody/something is a particular thing,"be accounted + adj., In English law a person is accounted innocent until they are proved guilty.",/əˈkaʊnt/,data/audio/oxford/account__us_1.ogg,oxford,oxford
accountability,c1,noun,oxford_3000_5000,the fact of being responsible for your decisions or actions and expected to explain them when you are asked,proposals for greater police accountability,/əˌkaʊntəˈbɪləti/,data/audio/oxford/accountability__us_1.ogg,oxford,oxford
accountable,c1,adjective,oxford_3000_5000,responsible for your decisions or actions and expected to explain them when you are asked,The state spends taxpayers’ money and should be held accountable.,/əˈkaʊntəbl/,data/audio/oxford/accountable__us_1.ogg,oxford,oxford
accountant,b2,noun,oxford_3000_5000,a person whose job is to keep or check financial accounts,We talked to the company’s chief accountant.,/əˈkaʊntənt/,data/audio/oxford/accountant__us_1.ogg,oxford,oxford
accumulate,c1,verb,oxford_3000_5000,to gradually get more and more of something over a period of time,I seem to have accumulated a lot of books.,/əˈkjuːmjəleɪt/,data/audio/oxford/accumulate__us_1.ogg,oxford,oxford
accumulation,c1,noun,oxford_3000_5000,the process of gradually increasing or getting more and more of something over a period of time,the accumulation of wealth,/əˌkjuːmjəˈleɪʃn/,data/audio/oxford/accumulation__us_1.ogg,oxford,oxford
accuracy,b2,noun,oxford_3000_5000,the state of being exact or correct; the ability to do something with skill and without making mistakes,They questioned the accuracy of the information in the file.,/ˈækjərəsi/,data/audio/oxford/accuracy__us_1.ogg,oxford,oxford
accurate,b2,adjective,oxford_3000_5000,correct and true in every detail,an accurate description/picture of something,/ˈækjərət/,data/audio/oxford/accurate__us_1.ogg,oxford,oxford
accurately,b2,adverb,oxford_3000_5000,in a way that is correct and true in every detail,The article accurately reflects public opinion.,/ˈækjərətli/,data/audio/oxford/accurately__us_1.ogg,oxford,oxford
accusation,c1,noun,oxford_3000_5000,a statement saying that you think a person is guilty of doing something wrong or illegal; the fact of accusing somebody,I don't want to make an accusation until I have some proof.,/ˌækjuˈzeɪʃn/,data/audio/oxford/accusation__us_1.ogg,oxford,oxford
accuse,b2,verb,oxford_3000_5000,to say that somebody has done something wrong or is guilty of something,"accuse somebody of something, to accuse somebody of murder/a crime",/əˈkjuːz/,data/audio/oxford/accuse__us_2.ogg,oxford,oxford
accused,c1,noun,oxford_3000_5000,a person who is on trial for committing a crime,The accused was found innocent.,/ði əˈkjuːzd/,data/audio/oxford/accused__us_1.ogg,oxford,oxford
achieve,a2,verb,oxford_3000_5000,"to succeed in reaching a particular goal, status or standard, especially by making an effort for a long time",He had finally achieved success.,/əˈtʃiːv/,data/audio/oxford/achieve__us_2.ogg,oxford,oxford
achievement,b1,noun,oxford_3000_5000,"a thing that somebody has done successfully, especially using their own effort and skill",the greatest scientific achievement of the decade,/əˈtʃiːvmənt/,data/audio/oxford/achievement__us_1.ogg,oxford,oxford
acid,c1,adjective,oxford_3000_5000,that contains acid or has the essential characteristics of an acid; that has a pH of less than seven,"Rye is tolerant of poor, acid soils.",/ˈæsɪd/,data/audio/oxford/acid__us_1.ogg,oxford,oxford
acid,b2,noun,oxford_3000_5000,"a chemical, usually a liquid, that contains hydrogen and has a pH of less than seven. The hydrogen can be replaced by a metal to form a salt. Acids usually have a bitter sharp taste and can often burn holes in or damage things they touch.",The acid burned a hole in her coat.,/ˈæsɪd/,data/audio/oxford/acid__us_1.ogg,oxford,oxford
acknowledge,b2,verb,oxford_3000_5000,to accept that something is true,"acknowledge something, She refuses to acknowledge the need for reform.",/əkˈnɒlɪdʒ/,data/audio/oxford/acknowledge__us_1.ogg,oxford,oxford
acquire,b2,verb,oxford_3000_5000,"to gain something by your own efforts, ability or behaviour",She has acquired a good knowledge of English.,/əˈkwaɪə(r)/,data/audio/oxford/acquire__us_2.ogg,oxford,oxford
acquisition,c1,noun,oxford_3000_5000,"the act of getting something, especially knowledge, a skill, etc.",theories of child language acquisition,/ˌækwɪˈzɪʃn/,data/audio/oxford/acquisition__us_1.ogg,oxford,oxford
acre,c1,noun,oxford_3000_5000,a unit for measuring an area of land; 4 840 square yards or about 4 050 square metres,3 000 acres of parkland,/ˈeɪkə(r)/,data/audio/oxford/acre__us_1.ogg,oxford,oxford
