word_us,word_gb,lexical_category,cefr,definition_url_oxford,definition_url_cambridge,ipa_us,ipa_gb,definition,example,audio_source_us,audio_source_gb
a,a,indefinite article,a1,https://www.oxfordlearnersdictionaries.com/definition/english/a_1,https://dictionary.cambridge.org/dictionary/english/a,"[""/ə/"", ""/eɪ/""]","[""/ə/"", ""/eɪ/""]",used before countable or singular nouns referring to people or things that have not already been mentioned,a man/horse/unit,"[""https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/a__/a__us/a__us_2_rr.ogg"", ""https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/a__/a__us/a__us_3_rr.ogg""]","[""https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/a/a__/a__gb/a__gb_2.ogg"", ""https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/a/a__/a__gb/a__gb_3.ogg""]"
abandon,abandon,verb,b2,https://www.oxfordlearnersdictionaries.com/definition/english/abandon_1,https://dictionary.cambridge.org/dictionary/english/abandon,"[""/əˈbændən/""]","[""/əˈbændən/""]","to leave somebody, especially somebody you are responsible for, with no intention of returning",The baby had been abandoned by its mother.,"[""https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/aba/aband/abandon__us_2.ogg""]","[""https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/a/aba/aband/abandon__gb_2.ogg""]"
ability,ability,noun,a2,https://www.oxfordlearnersdictionaries.com/definition/english/ability_1,https://dictionary.cambridge.org/dictionary/english/ability,"[""/əˈbɪləti/""]","[""/əˈbɪləti/""]",the fact that somebody/something is able to do something,People with the disease may lose their ability to communicate.,"[""https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/abi/abili/ability__us_4.ogg""]","[""https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/a/abi/abili/ability__gb_1.ogg""]"
able,able,adjective,a2,https://www.oxfordlearnersdictionaries.com/definition/english/able_1,https://dictionary.cambridge.org/dictionary/english/able,"[""/ˈeɪbl/""]","[""/ˈeɪbl/""]","having the skill, intelligence, opportunity, etc. needed to do something",You must be able to speak French for this job.,"[""https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/abl/able_/able__us_2.ogg""]","[""https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/a/abl/able_/able__gb_1.ogg""]"
abolish,abolish,verb,c1,https://www.oxfordlearnersdictionaries.com/definition/english/abolish,https://dictionary.cambridge.org/dictionary/english/abolish,"[""/əˈbɑːlɪʃ/""]","[""/əˈbɒlɪʃ/""]","to officially end a law, a system or an institution",This tax should be abolished.,"[""https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/abo/aboli/abolish__us_1.ogg""]","[""https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/a/abo/aboli/abolish__gb_2.ogg""]"
abortion,abortion,noun,c1,https://www.oxfordlearnersdictionaries.com/definition/english/abortion,https://dictionary.cambridge.org/dictionary/english/abortion,"[""/əˈbɔːrʃn/""]","[""/əˈbɔːʃn/""]",the deliberate ending of a pregnancy at an early stage,to support/oppose abortion,"[""https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/abo/abort/abortion__us_1.ogg""]","[""https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/a/abo/abort/abortion__gb_1.ogg""]"
about,about,adverb,a1,https://www.oxfordlearnersdictionaries.com/definition/english/about_2,https://dictionary.cambridge.org/dictionary/english/about,"[""/əˈbaʊt/""]","[""/əˈbaʊt/""]",a little more or less than; a little before or after,It costs about $10.,"[""https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/abo/about/about__us_1.ogg""]","[""https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/a/abo/about/about__gb_1.ogg""]"
about,about,preposition,a1,https://www.oxfordlearnersdictionaries.com/definition/english/about_1,https://dictionary.cambridge.org/dictionary/english/about,"[""/əˈbaʊt/""]","[""/əˈbaʊt/""]",on the subject of somebody/something; in connection with somebody/something,a book about flowers,"[""https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/abo/about/about__us_1.ogg""]","[""https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/a/abo/about/about__gb_1.ogg""]"
above,above,adverb,a1,https://www.oxfordlearnersdictionaries.com/definition/english/above_2,https://dictionary.cambridge.org/dictionary/english/above,"[""/əˈbʌv/""]","[""/əˈbʌv/""]",at or to a higher place,Put it on the shelf above.,"[""https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/abo/above/above__us_2.ogg""]","[""https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/a/abo/above/above__gb_1.ogg""]"
above,above,preposition,a1,https://www.oxfordlearnersdictionaries.com/definition/english/above_1,https://dictionary.cambridge.org/dictionary/english/above,"[""/əˈbʌv/""]","[""/əˈbʌv/""]",at or to a higher place or position than something/somebody,The water came above our knees.,"[""https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/abo/above/above__us_2.ogg""]","[""https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/a/abo/above/above__gb_1.ogg""]"
